timestamp_ist,underlying,expiry,strike,side,ltp,bid_price,ask_price,volume,oi,prev_oi,delta,iv,theta,vega,gamma,rho,oi_change,oi_change_perc,oi_trigger,oi_trap,delta_change,delta_change_perc,delta_velocity,delta_momentum
2025-11-03 10:30:00+05:30,NIFTY,2026-06-30,12000.00,P,20.0,1.05,20.05,0,325,325,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:31:00+05:30,NIFTY,2026-06-30,12000.00,P,20.0,1.05,20.05,0,325,325,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:32:00+05:30,NIFTY,2026-06-30,12000.00,P,20.0,1.05,20.05,0,325,325,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:33:00+05:30,NIFTY,2026-06-30,12000.00,P,20.0,1.05,20.05,0,325,325,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:34:00+05:30,NIFTY,2026-06-30,12000.00,P,20.0,1.05,20.05,0,325,325,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:35:00+05:30,NIFTY,2026-06-30,12000.00,P,20.0,1.05,20.05,0,325,325,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:36:00+05:30,NIFTY,2026-06-30,12000.00,P,20.0,1.05,20.05,0,325,325,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:30:00+05:30,NIFTY,2026-12-29,12000.00,P,20.0,1.05,0.0,0,575,575,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:31:00+05:30,NIFTY,2026-12-29,12000.00,P,20.0,1.05,0.0,0,575,575,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:32:00+05:30,NIFTY,2026-12-29,12000.00,P,20.0,1.05,0.0,0,575,575,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:33:00+05:30,NIFTY,2026-12-29,12000.00,P,20.0,1.05,0.0,0,575,575,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:34:00+05:30,NIFTY,2026-12-29,12000.00,P,20.0,1.05,0.0,0,575,575,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:35:00+05:30,NIFTY,2026-12-29,12000.00,P,20.0,1.05,0.0,0,575,575,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:36:00+05:30,NIFTY,2026-12-29,12000.00,P,20.0,1.05,0.0,0,575,575,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:30:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,,,,STABLE
2025-11-03 10:31:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,0.0,0.0,0.0,STABLE
2025-11-03 10:32:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,0.0,0.0,0.0,STABLE
2025-11-03 10:33:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,0.0,0.0,0.0,STABLE
2025-11-03 10:34:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,0.0,0.0,0.0,STABLE
2025-11-03 10:35:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,0.0,0.0,0.0,STABLE
2025-11-03 10:36:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,0.0,0.0,0.0,STABLE
2025-11-03 10:37:00+05:30,NIFTY,2025-12-30,13000.00,P,3.3,3.3,3.65,525,31700,31625,-0.00169,0.61985,1.62162,0.00551,0.0,-0.07381,75,0.23715415019762848,NORMAL,No Trap,0.0,0.0,0.0,STABLE
2025-11-03 10:30:00+05:30,NIFTY,2026-06-30,13000.00,P,21.6,1.05,20.05,0,0,0,,,,,,,0,,NORMAL,No Trap,,,,STABLE
2025-11-03 10:31:00+05:30,NIFTY,2026-06-30,13000.00,P,21.6,1.05,20.05,0,0,0,,,,,,,0,,NORMAL,No Trap,,,,STABLE
2025-11-03 10:32:00+05:30,NIFTY,2026-06-30,13000.00,P,21.6,1.05,20.05,0,0,0,,,,,,,0,,NORMAL,No Trap,,,,STABLE
2025-11-03 10:33:00+05:30,NIFTY,2026-06-30,13000.00,P,21.6,1.05,20.05,0,0,0,,,,,,,0,,NORMAL,No Trap,,,,STABLE
2025-11-03 10:34:00+05:30,NIFTY,2026-06-30,13000.00,P,21.6,1.05,20.05,0,0,0,,,,,,,0,,NORMAL,No Trap,,,,STABLE
2025-11-03 10:35:00+05:30,NIFTY,2026-06-30,13000.00,P,21.6,1.05,20.05,0,0,0,,,,,,,0,,NORMAL,No Trap,,,,STABLE
2025-11-03 10:36:00+05:30,NIFTY,2026-06-30,13000.00,P,21.6,1.05,20.05,0,0,0,,,,,,,0,,NORMAL,No Trap,,,,STABLE
2025-11-03 10:30:00+05:30,NIFTY,2026-12-29,13000.00,P,1.1,1.3,0.0,0,2475,2475,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:31:00+05:30,NIFTY,2026-12-29,13000.00,P,1.1,1.3,0.0,0,2475,2475,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:32:00+05:30,NIFTY,2026-12-29,13000.00,P,1.1,1.3,0.0,0,2475,2475,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:33:00+05:30,NIFTY,2026-12-29,13000.00,P,1.1,1.3,0.0,0,2475,2475,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:34:00+05:30,NIFTY,2026-12-29,13000.00,P,1.1,1.3,0.0,0,2475,2475,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:35:00+05:30,NIFTY,2026-12-29,13000.00,P,1.1,1.3,0.0,0,2475,2475,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:36:00+05:30,NIFTY,2026-12-29,13000.00,P,1.1,1.3,0.0,0,2475,2475,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:30:00+05:30,NIFTY,2026-06-30,14000.00,P,19.9,1.05,0.0,0,1525,1525,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:31:00+05:30,NIFTY,2026-06-30,14000.00,P,19.9,1.05,0.0,0,1525,1525,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:32:00+05:30,NIFTY,2026-06-30,14000.00,P,19.9,1.05,0.0,0,1525,1525,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:33:00+05:30,NIFTY,2026-06-30,14000.00,P,19.9,1.05,0.0,0,1525,1525,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:34:00+05:30,NIFTY,2026-06-30,14000.00,P,19.9,1.05,0.0,0,1525,1525,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:35:00+05:30,NIFTY,2026-06-30,14000.00,P,19.9,1.05,0.0,0,1525,1525,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:36:00+05:30,NIFTY,2026-06-30,14000.00,P,19.9,1.05,0.0,0,1525,1525,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:30:00+05:30,NIFTY,2026-12-29,14000.00,P,20.05,20.05,0.0,0,2225,2225,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:31:00+05:30,NIFTY,2026-12-29,14000.00,P,20.05,20.05,0.0,0,2225,2225,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:32:00+05:30,NIFTY,2026-12-29,14000.00,P,20.05,20.05,0.0,0,2225,2225,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:33:00+05:30,NIFTY,2026-12-29,14000.00,P,20.05,20.05,0.0,0,2225,2225,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:34:00+05:30,NIFTY,2026-12-29,14000.00,P,20.05,20.05,0.0,0,2225,2225,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:35:00+05:30,NIFTY,2026-12-29,14000.00,P,20.05,20.05,0.0,0,2225,2225,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
2025-11-03 10:36:00+05:30,NIFTY,2026-12-29,14000.00,P,20.05,20.05,0.0,0,2225,2225,,,,,,,0,0.0,NORMAL,No Trap,,,,STABLE
